Common Name,Scientific Name,ESA Listing Status,Is Foreign?,Taxonomic Family,Taxonomic Group,Taxonomic Kingdom
Briley Creek pyrg,Pyrgulopsis sp.,Species of Concern,FALSE,Hydrobiidae,Snails,Animal
Brindled nail-tailed wallaby,Onychogalea fraenata,Endangered,TRUE,Macropodidae,Mammals,Animal
Bristlecone catseye,Cryptantha roosiorum,Species of Concern,FALSE,Boraginaceae,Flowering Plants,Plant
Bristle-flowered collomia,Collomia macrocalyx,Resolved Taxon,FALSE,Polemoniaceae,Flowering Plants,Plant
Bristlefront yellow-faced bee,Nesoprosopis setosifrons,Resolved Taxon,FALSE,Hylaeidae,Insects,Animal
Bristle Nailwort,Paronychia lundelliorum,Resolved Taxon,FALSE,,Flowering Plants,Plant
Bristle-thighed curlew,Numenius tahitiensis,Species of Concern,FALSE,Scolopacidae,Birds,Animal
Brittlescale,Atriplex depressa,Status Undefined,FALSE,Chenopodiaceae,Flowering Plants,Plant
Britton's beargrass,Nolina brittoniana,Endangered,FALSE,Agavaceae,Flowering Plants,Plant
Broadhead yellow-faced bee,Hylaeus laticeps,Resolved Taxon,FALSE,Hylaeidae,Insects,Animal
Broad-leaf Ground-cherry,Physalis latiphysa,Resolved Taxon,FALSE,Solanaceae,Flowering Plants,Plant
Broad-pod rushpea,Caesalpinia brachycarpa,Species of Concern,FALSE,Fabaceae,Flowering Plants,Plant
Broad River Burrowing crayfish,Distocambarus devexus,Status Undefined,FALSE,Cambaridae,Crustaceans,Animal
Broad-snouted caiman,Caiman latirostris,Threatened,TRUE,Alligatoridae,Reptiles,Animal
Broad-snouted caiman,Caiman latirostris,Endangered,TRUE,Alligatoridae,Reptiles,Animal
Broadstripe shiner,Pteronotropis euryzonus,Status Undefined,FALSE,Cyprinidae,Fishes,Animal
Broken hornsnail,Pleurocera postelli,Species of Concern,FALSE,Pleuroceridae,Snails,Animal
Bronze clubtail,Stylurus townesi,Species of Concern,FALSE,Gomphidae,Insects,Animal
Bronze darter,Percina palmaris,Resolved Taxon,FALSE,Percidae,Fishes,Animal
Brook elimia,Elimia strigosa,Species of Concern,FALSE,Pleuroceridae,Snails,Animal
Brook floater,Alasmidonta varicosa,Resolved Taxon,FALSE,Unionidae,Clams,Animal
Brooksville bellflower,Campanula robinsiae,Endangered,FALSE,Campanulaceae,Flowering Plants,Plant
brook trout,Salvelinus fontinalis,Resolved Taxon,FALSE,Salmonidae,Fishes,Animal
Brother's Island tuatara,Sphenodon guntheri,Endangered,TRUE,Sphenodontidae,Reptiles,Animal
Brother spike,Elliptio fraterna,Status Undefined,FALSE,Unionidae,Clams,Animal
Brown-banded antpitta,Grallaria milleri,Endangered,TRUE,Formicariidae,Birds,Animal
Brown bear,Ursus arctos arctos,Endangered,TRUE,Ursidae,Mammals,Animal
Brown bear,Ursus arctos pruinosus,Endangered,TRUE,Ursidae,Mammals,Animal
Brown Booby,Sula leucogaster,Species of Concern,FALSE,Sulidae,Birds,Animal
Brown Caiman,Caiman crocodilus fuscus (includes Caiman crocodilus chiapasius),Similarity of Appearance (Threatened),TRUE,Alligatoridae,Reptiles,Animal
Brown-capped Rosy-Finch,Leucosticte australis,Species of Concern,FALSE,Fringillidae,Birds,Animal
Brown creeper,certhia americana,Species of Concern,FALSE,certhilidae,Birds,Animal
Brown-crested flycatcher,myiarchus tyrannulus,Species of Concern,FALSE,tyrannidae,Birds,Animal
Brown cross ectemnius sphecid wasp,Ectemnius fulvicrus,Species of Concern,FALSE,Sphecidae,Insects,Animal
Brown eared pheasant,Crossoptilon mantchuricum,Endangered,TRUE,Phasianidae,Birds,Animal
Brown-headed Nuthatch,Sitta pusilla,Species of Concern,FALSE,Sittidae,Birds,Animal
Brown Hyena,Parahyaena (=Hyaena) brunnea,Endangered,TRUE,Hyaenidae,Mammals,Animal
Brownish dubiraphian riffle beetle,Dubiraphia brunnescens,Species of Concern,FALSE,Elmidae,Insects,Animal
Brown merycomyian tabanid fly,Merycomyia brunnea,Species of Concern,FALSE,Tabanidae,Insects,Animal
Brown pelican,Pelecanus occidentalis,Recovery,FALSE,Pelicanidae,Birds,Animal
Brown pelican,Pelecanus occidentalis,Recovery,FALSE,Pelicanidae,Birds,Animal
Brown pelican,pelecanus occidentalis ssp. occidentalis,Species of Concern,FALSE,pelecanidae,Birds,Animal
Brown's microcylloepus riffle beetle,Microcylloepus browni,Resolved Taxon,FALSE,Elmidae,Insects,Animal
Brown's optioservus riffle beetle,Optioservus browni,Species of Concern,FALSE,Elmidae,Insects,Animal
Brown springsnail,Pyrgulopsis sola,Resolved Taxon,FALSE,Hydrobiidae,Snails,Animal
Brownsville common yellowthroat,Geothlypis trichas insperata,Species of Concern,FALSE,Emberizidae,Birds,Animal
Brown-tassel trigonoscuta weevil,Trigonoscuta brunneotesselata,Species of Concern,FALSE,Curculionidae,Insects,Animal
Brown Thrasher,Toxostoma rufum,Species of Concern,FALSE,Mimidae,Birds,Animal
Bruneau Hot springsnail,Pyrgulopsis bruneauensis,Endangered,FALSE,Hydrobiidae,Snails,Animal
Brune's tryonia,Tryonia brunei,Resolved Taxon,FALSE,Hydrobiidae,Snails,Animal
Brunson Mountain snail,Oreohelix speciesfive,Under Review,FALSE,Oreohelicidae,Snails,Animal
Brush Prairie pocket gopher,Thomomys mazama douglasii,Resolved Taxon,FALSE,Geomyidae,Mammals,Animal
brush rabbit,Sylvilagus bachmani,Species of Concern,FALSE,Leporidae,Mammals,Animal
Brush-tailed rat-kangaroo,Bettongia penicillata,Endangered,TRUE,Macropodidae,Mammals,Animal
Bryan's nehe,Lipochaeta bryanii,Resolved Taxon,FALSE,Asteraceae,Flowering Plants,Plant
Bryan's oceanides seed bug,Oceanides bryani,Species of Concern,FALSE,Lygaeidae,Insects,Animal
Bryce bladder-pod,Lesquerella rubicundula,Resolved Taxon,FALSE,Brassicaceae,Flowering Plants,Plant
Bryson's sedge,Carex brysonii,Status Undefined,FALSE,Cyperaceae,Flowering Plants,Plant
Buchholz' dart moth,Agrotis buchholzi,Species of Concern,FALSE,Noctuidae,Insects,Animal
Buck Creek serpentine barren aster,Symphyotrichum rhiannon,Species of Concern,FALSE,Asteraceae,Flowering Plants,Plant
Buck Darter,Etheostoma nebra,Species of Concern,FALSE,Percidae,Fishes,Animal
Buena Vista Lake ornate Shrew,Sorex ornatus relictus,Endangered,FALSE,Soricidae,Mammals,Animal
Buffalo Springs caddisfly,Ceratopsyche etnieri,Species of Concern,FALSE,Hydropsychidae,Insects,Animal
Buff-banded Rail,Gallirallus philippensis goodsoni,Species of Concern,FALSE,Rallidae,Birds,Animal
Buff-bellied Hummingbird,Amazilia yucatanensis,Species of Concern,FALSE,Trochilidae,Birds,Animal
Buff-breasted flycatcher,Empidonax fulvifrons pygmaeus,Resolved Taxon,FALSE,Tyrannidae,Birds,Animal
Buff-breasted Flycatcher,Empidonax fulvifrons,Species of Concern,FALSE,Tyrannidae,Birds,Animal
Buff-breasted Sandpiper,Calidris subruficollis,Species of Concern,FALSE,Scolopacidae,Birds,Animal
Buff-headed marmoset,Callithrix flaviceps,Endangered,TRUE,Callithricidae,Mammals,Animal
Bullfrog Mountain wild pea,Lathyrus hitchcockianus,Resolved Taxon,FALSE,Fabaceae,Flowering Plants,Plant
Bullock's Oriole,Icterus bullockii,Species of Concern,FALSE,Icteridae,Birds,Animal
Bulls Island white-tailed deer,Odocoileus virginianus taurinsulae,Species of Concern,FALSE,Cervidae,Mammals,Animal
Bull Trout,Salvelinus confluentus,Threatened,FALSE,Salmonidae,Fishes,Animal
Bull Trout,Salvelinus confluentus,"Experimental Population, Non-Essential",FALSE,Salmonidae,Fishes,Animal
Bulmer's fruit bat (=flying fox),Aproteles bulmerae,Endangered,TRUE,Pteropodidae,Mammals,Animal
Bulwer's Petrel,Bulweria bulwerii,Species of Concern,FALSE,Procellariidae,Birds,Animal
Bumblebee bat,Craseonycteris thonglongyai,Endangered,TRUE,Craseonycteridae,Mammals,Animal
Bumblebee scarab,Lichnanthe ursina,Species of Concern,FALSE,Glaphyridae,Insects,Animal
Bunched arrowhead,Sagittaria fasciculata,Endangered,FALSE,Alismataceae,Flowering Plants,Plant
Bunched cory cactus,Coryphantha ramillosa,Threatened,FALSE,Cactaceae,Flowering Plants,Plant
Burke's goldfields,Lasthenia burkei,Endangered,FALSE,Asteraceae,Flowering Plants,Plant
Burmese peacock turtle,Morenia ocellata,Endangered,TRUE,Emydidae,Reptiles,Animal
Burnell's false water penny,Acneus burnelli,Species of Concern,FALSE,Eubriidae,Insects,Animal
Burnsville Cove cave amphipod,Stygobromus conradi,Species of Concern,FALSE,Crangonyctidae,Crustaceans,Animal
Burrhead shiner,Notropis asperifrons,Resolved Taxon,FALSE,Cyprinidae,Fishes,Animal
Burrington jumping-slug,Hemphillia burringtoni,Resolved Taxon,FALSE,Arionidae,Snails,Animal
Burrowing bog crayfish,Fallicambarus burrisi,Under Review,FALSE,Cambaridae,Crustaceans,Animal
Burrowing mayfly,Hexagenia sp,Resolved Taxon,FALSE,Ephemeroptera,Insects,Animal
Burrowing Owl,Athene cunicularia,Species of Concern,FALSE,Strigidae,Birds,Animal
Busck's gall moth,Carolella busckana,Species of Concern,FALSE,Phaloniidae,Insects,Animal
Bushy rush-rose,Helianthemum dumosum,Species of Concern,FALSE,Cistaceae,Flowering Plants,Plant
Bushy whitlow-wort,Paronychia congesta,Under Review,FALSE,Caryophyllaceae,Flowering Plants,Plant
Bushy wild-buckwheat,Eriogonum suffruticosum,Species of Concern,FALSE,Polygonaceae,Flowering Plants,Plant
Butte County catchfly,Silene occidentalis longistipitata,Species of Concern,FALSE,Caryophyllaceae,Flowering Plants,Plant
Butte County meadowfoam,Limnanthes floccosa ssp. californica,Endangered,FALSE,Limnanthaceae,Flowering Plants,Plant
Butte County morning-glory,Calystegia atriplicifolia buttensis,Species of Concern,FALSE,Convolvulaceae,Flowering Plants,Plant
Butte County sidalcea,Sidalcea robusta,Species of Concern,FALSE,Malvaceae,Flowering Plants,Plant
Butte fritillary,Fritillaria eastwoodiae,Species of Concern,FALSE,Liliaceae,Flowering Plants,Plant
buttercup phacelia,Phacelia covillei,Species of Concern,FALSE,Hydrophyllaceae,Flowering Plants,Plant
Butterfield pyrg,Pyrgulopsis lata,Resolved Taxon,FALSE,Hyrdobiidae,Snails,Animal
"Butterfly, Gaut's cactus",Turbinicarpus gautii,Resolved Taxon,FALSE,Cactaceae,Flowering Plants,Plant
Butternut,Juglans cinerea,Species of Concern,FALSE,Juglandaceae,Flowering Plants,Plant
Butterworth's buckwheat,Eriogonum butterworthianum,Species of Concern,FALSE,Polygonaceae,Flowering Plants,Plant
Button's Sierra sideband,Monadenia mormonum buttoni,Species of Concern,FALSE,Helminthoglyptida,Snails,Animal
Bylas springsnail,Pyrgulopsis arizonae,Under Review,FALSE,Hydrobiidae,Snails,Animal
Byrne Resort mountainsnail,Oreohelix spthirtyone,Resolved Taxon,FALSE,Oreohelicidae,Snails,Animal
Cabot's tragopan pheasant,Tragopan caboti,Endangered,TRUE,Phasianidae,Birds,Animal
Cabrera's hutia,Capromys angelcabrerai,Endangered,TRUE,Capromyidae,Mammals,Animal
Cache beardtongue,Penstemon compactus,Species of Concern,FALSE,Scrophulariaceae,Flowering Plants,Plant
Cache Peak buckwheat,Eriogonum kennedyi pinicola,Species of Concern,FALSE,Polygonaceae,Flowering Plants,Plant
Cactus ferruginous pygmy-owl,Glaucidium brasilianum cactorum,Proposed Threatened,FALSE,Strigidae,Birds,Animal
Cactus Wren,Campylorhynchus brunneicapillus,Species of Concern,FALSE,Certhiidae,Birds,Animal
Caddisfly,Apatania arizona,Resolved Taxon,FALSE,Apataniidae,Insects,Animal
Caddisfly,Chimarra primula,Resolved Taxon,FALSE,Philopotamidae,Insects,Animal
Caddisfly,Culoptila kimminsi,Resolved Taxon,FALSE,Glossosomatidae,Insects,Animal
Caddisfly,Culoptila moselyi,Resolved Taxon,FALSE,Glossosomatidae,Insects,Animal
Caddisfly,Hydroptila protera,Under Review,FALSE,Hydroptilidae,Insects,Animal
Caddisfly,Lepidostoma ozarkense,Resolved Taxon,FALSE,Lepidostomatidae,Insects,Animal
Caddisfly,Neotrichia mobilensis,Resolved Taxon,FALSE,Hydroptilidae,Insects,Animal
Caddisfly,Ochrotrichia guadalupensis,Resolved Taxon,FALSE,Hydroptilidae,Insects,Animal
Caddisfly,Ochrotrichia weddleae,Resolved Taxon,FALSE,Hydroptilidae,Insects,Animal
Caddisfly,Phylocentropus harrisi,Under Review,FALSE,Dipseudopsidae,Insects,Animal
Caddo madtom,Noturus taylori,Under Review,FALSE,Ictaluridae,Fishes,Animal
Caddo Mountain salamander,Plethodon caddoensis,Resolved Taxon,FALSE,Plethodontidae,Amphibians,Animal
Caddo purple false-foxglove,Tomanthera caddoensis,Species of Concern,FALSE,Scrophulariaceae,Flowering Plants,Plant
(Caecidotea reddelli) isopod,caecidotea reddelli,Species of Concern,FALSE,asellidae,Crustaceans,Animal
Caerulean Paradise flycatcher,Eutrichomyias rowleyi,Endangered,TRUE,Tyrannidae,Birds,Animal
Cagle's map turtle,Graptemys caglei,Resolved Taxon,FALSE,Emydidae,Reptiles,Animal
Cahaba elimia,Elimia cahawbensis,Resolved Taxon,FALSE,Pleuroceridae,Snails,Animal
Cahaba pebblesnail,Clappia cahabensis,Resolved Taxon,FALSE,Hydrobiidae,Snails,Animal
Cahaba pebblesnail,Clappia umbilicata,Resolved Taxon,FALSE,Hydrobiidae,Snails,Animal
Cahaba saddle-case caddisfly,Protoptila cahabensis,Species of Concern,FALSE,Glossosomatidae,Insects,Animal
Cahaba sandfiltering mayfly,Homoeoneuria cahabensis,Species of Concern,FALSE,Oligoneuridae,Insects,Animal
Cahaba shiner,Notropis cahabae,Endangered,FALSE,Cyprinidae,Fishes,Animal
Cain's reedgrass,Calamagrostis cainii,Species of Concern,FALSE,Poaceae,Flowering Plants,Plant
Calamianes (=Philippine) deer,Axis porcinus calamianensis,Endangered,TRUE,Cervidae,Mammals,Animal
Calcasieu crayfish,Orconectes blacki,Under Review,FALSE,Cambaridae,Crustaceans,Animal
Calico monkeyflower,Mimulus pictus,Resolved Taxon,FALSE,Scrophulariaceae,Flowering Plants,Plant
Calico Rock oval,Patera clenchi,Species of Concern,FALSE,Polygyridae,Snails,Animal
Caliente clarkia,Clarkia tembloriensis ssp. calientensis,Species of Concern,FALSE,Onagraceae,Flowering Plants,Plant
California adder's-tongue,Ophioglossum lusitanicum,Resolved Taxon,FALSE,Ophioglossaceae,Ferns and Allies,Plant
California adolphia,Adolphia californica,Species of Concern,FALSE,Rhamnaceae,Flowering Plants,Plant
California beaked-rush,Rhynchospora californica,Species of Concern,FALSE,Cyperaceae,Flowering Plants,Plant
California black oak,Quercus kelloggii,Resolved Taxon,FALSE,Fagaceae,Flowering Plants,Plant
California black rail,laterallus jamaicensis ssp. coturniculus,Species of Concern,FALSE,rallidae,Birds,Animal
California bottlebrush grass,Elymus californicus,Resolved Taxon,FALSE,Poaceae,Flowering Plants,Plant
California clapper rail,Rallus longirostris obsoletus,Endangered,FALSE,Rallidae,Birds,Animal
California condor,Gymnogyps californianus,"Experimental Population, Non-Essential",FALSE,Cathartidae,Birds,Animal
California condor,Gymnogyps californianus,"Experimental Population, Non-Essential",FALSE,Cathartidae,Birds,Animal
California condor,Gymnogyps californianus,Endangered,FALSE,Cathartidae,Birds,Animal
California dichondra,Dichondra donnelliana,Resolved Taxon,FALSE,Convolvulaceae,Flowering Plants,Plant
California diplectronan caddisfly,Diplectrona californica,Species of Concern,FALSE,Hydropsychidae,Insects,Animal
California dissanthelium,Dissanthelium californicum,Species of Concern,FALSE,Poaceae,Flowering Plants,Plant
California ditaxis,Ditaxis serrata,Species of Concern,FALSE,Euphorbiaceae,Flowering Plants,Plant
California floater,Anodonta californiensis,Resolved Taxon,FALSE,Unionidae,Clams,Animal
California freshwater shrimp,Syncaris pacifica,Endangered,FALSE,Palaemonidae,Crustaceans,Animal
California giant salamander,Dicamptodon ensatus,Resolved Taxon,FALSE,Ambystomatidae,Amphibians,Animal
California golden trout trout,Oncorhynchus mykiss aguabonita,Resolved Taxon,FALSE,Salmonidae,Fishes,Animal
California hibiscus,Hibiscus californicus,Resolved Taxon,FALSE,Malvaceae,Flowering Plants,Plant
California horned lark,Eremophila alpestris actia,Resolved Taxon,FALSE,Alaudidae,Birds,Animal
California horned lizard,Phrynosoma coronatum frontale,Species of Concern,FALSE,Iguanidae,Reptiles,Animal
California jewelflower,Caulanthus californicus,Endangered,FALSE,Brassicaceae,Flowering Plants,Plant
California king snake,lampropeltis getula ssp. californiae,Species of Concern,FALSE,colubridae,Reptiles,Animal
California lady's-slipper,Cypripedium californicum,Resolved Taxon,FALSE,Orchidaceae,Flowering Plants,Plant
California leaf-nosed bat,Macrotus californicus,Species of Concern,FALSE,Phyllostomidae,Mammals,Animal
California least tern,Sterna antillarum browni,Endangered,FALSE,Laridae,Birds,Animal
California linderiella,Linderiella occidentalis,Resolved Taxon,FALSE,Linderiellidae,Crustaceans,Animal
California marina,Marina orcuttii orcuttii,Species of Concern,FALSE,Fabaceae,Flowering Plants,Plant
California McCoy snail islandsnail,Micrarionta rowelli mccoiana,Species of Concern,FALSE,Helminthoglyptida,Snails,Animal
California mountain lion,Felis concolor californica,Resolved Taxon,FALSE,Felidae,Mammals,Animal
California muhly,Muhlenbergia californica,Species of Concern,FALSE,Poaceae,Flowering Plants,Plant
California myotis,myotis californicus,Species of Concern,FALSE,vespertilionidae,Mammals,Animal
California Orcutt grass,Orcuttia californica,Endangered,FALSE,Poaceae,Flowering Plants,Plant
California penstemon,Penstemon californicus,Resolved Taxon,FALSE,Scrophulariaceae,Flowering Plants,Plant
California pine-foot,Pityopus californicus,Resolved Taxon,FALSE,Ericaceae,Flowering Plants,Plant
California pitcherplant,Darlingtonia californica,Resolved Taxon,FALSE,Sarraceniaceae,Flowering Plants,Plant
California red-legged frog,Rana draytonii,Threatened,FALSE,Ranidae,Amphibians,Animal
California red tree vole,Arborimus pomo,Species of Concern,FALSE,Muridae,Mammals,Animal
California seablite,Suaeda californica,Endangered,FALSE,Chenopodiaceae,Flowering Plants,Plant
California spotted Owl,Strix occidentalis occidentalis,Resolved Taxon,FALSE,Strigidae,Birds,Animal
California taraxacum,Taraxacum californicum,Endangered,FALSE,Asteraceae,Flowering Plants,Plant
California Thrasher,Toxostoma redivivum,Species of Concern,FALSE,Mimidae,Birds,Animal
California tiger Salamander,Ambystoma californiense,Endangered,FALSE,Ambystomatidae,Amphibians,Animal
California tiger Salamander,Ambystoma californiense,Endangered,FALSE,Ambystomatidae,Amphibians,Animal
California tiger Salamander,Ambystoma californiense,Threatened,FALSE,Ambystomatidae,Amphibians,Animal
California walnut,Juglans californica var. californica,Species of Concern,FALSE,Juglandaceae,Flowering Plants,Plant
California wolverine,Gulo gulo luteus,Species of Concern,FALSE,Mustelidae,Mammals,Animal
Calistoga allocarya,Plagiobothrys strictus,Endangered,FALSE,Boraginaceae,Flowering Plants,Plant
Calistoga ceanothus,Ceanothus divergens,Species of Concern,FALSE,Rhamnaceae,Flowering Plants,Plant
Calliope Hummingbird,Stellula calliope,Species of Concern,FALSE,Trochilidae,Birds,Animal
Callippe silverspot butterfly,Speyeria callippe callippe,Endangered,FALSE,Nymphalidae,Insects,Animal
Calloway milk-vetch,Astragalus callithrix,Resolved Taxon,FALSE,Fabaceae,Flowering Plants,Plant
Call's angelica,Angelica callii,Resolved Taxon,FALSE,Apiaceae,Flowering Plants,Plant
Callused vertigo,Vertigo arthuri,Species of Concern,FALSE,Pupillidae,Snails,Animal
Calvert's emerald,Somatochlora calverti,Under Review,FALSE,Corduliidae,Insects,Animal
Cambria morning-glory,Calystegia subacaulis episcopalis,Species of Concern,FALSE,Convolvulaceae,Flowering Plants,Plant
Cameroon clawless otter,Aonyx congicus (=congica) microdon,Endangered,TRUE,Mustelidae,Mammals,Animal
Cameroon toad,Bufo superciliaris,Endangered,TRUE,Bufonidae,Amphibians,Animal
Campbell Island flightless teal,Anas aucklandica nesiotis,Endangered,TRUE,Anatidae,Birds,Animal
Camp Shelby burrowing crayfish,Fallicambarus gordoni,Resolved Taxon,FALSE,Cambaridae,Crustaceans,Animal
Camp Valley pyrg,Pyrgulopsis montana,Resolved Taxon,FALSE,Hydrobiidae,Snails,Animal
Campylotheca bidens,Bidens campylotheca campylotheca,Resolved Taxon,FALSE,Asteraceae,Flowering Plants,Plant
Canada goose,Branta canadensis,Status Undefined,FALSE,Anatidae,Birds,Animal
Canada Lynx,Lynx canadensis,Threatened,FALSE,Felidae,Mammals,Animal
Canada Warbler,Cardellina canadensis,Species of Concern,FALSE,Parulidae,Birds,Animal
"Canadian, columbine",Aquilegia canadensis australis,Species of Concern,FALSE,Ranunculaceae,Flowering Plants,Plant
Canarian black oystercatcher,Haematopus meadewaldoi,Endangered,TRUE,Haematopodidae,Birds,Animal
Canary duskysnail,Lyogyrus spc,Resolved Taxon,FALSE,Hydorbiidae,Snails,Animal
canary rockfish,Sebastes pinniger,Threatened,FALSE,Sebastidae,Fishes,Animal
Canby's dropwort,Oxypolis canbyi,Endangered,FALSE,Apiaceae,Flowering Plants,Plant
Candleholder dudleya,Dudleya candelabrum,Species of Concern,FALSE,Crassulaceae,Flowering Plants,Plant
Candy darter,Etheostoma osburni,Endangered,FALSE,Percidae,Fishes,Animal
Cane Creek cave beetle,Pseudanophthalmus occidentalis,Species of Concern,FALSE,Carabidae,Insects,Animal
Canelo Hills ladies'-tresses,Spiranthes delitescens,Endangered,FALSE,Orchidaceae,Flowering Plants,Plant
Canescent bluebells,Mertensia viridis cana,Resolved Taxon,FALSE,Boraginaceae,Flowering Plants,Plant
Canoe Creek Clubshell,Pleurobema athearni,Proposed Endangered,FALSE,Unionidae,Clams,Animal
Cantabrian capercaillie,Tetrao urogallus cantabricus,Endangered,TRUE,Gallinaceae,Birds,Animal
Cantelow's lewisia,Lewisia cantelowii,Resolved Taxon,FALSE,Portulacaceae,Flowering Plants,Plant
Canyon Creek stonecrop,Sedum paradisum,Species of Concern,FALSE,Crassulaceae,Flowering Plants,Plant
Canyon lip fern,Cheilanthes arizonica californicum,Resolved Taxon,FALSE,Adiantaceae,Ferns and Allies,Plant
Canyon mock orange,Philadelphus ernestii,Species of Concern,FALSE,Saxifragaceae,Flowering Plants,Plant
Canyon spotted whiptail,Cnemidophorus burti,Species of Concern,FALSE,Teiidae,Reptiles,Animal
Canyon Towhee,Pipilo fuscus,Species of Concern,FALSE,Emberizidae,Birds,Animal
Capa rosa,Callicarpa ampla,Endangered,FALSE,Verbenaceae,Flowering Plants,Plant
Cape Fear shiner,Notropis mekistocholas,Endangered,FALSE,Cyprinidae,Fishes,Animal
Cape Fear spike,Elliptio marsupiobesa,Resolved Taxon,FALSE,Unionidae,Clams,Animal
Cape Fear threetooth,Triodopsis soelneri,Species of Concern,FALSE,Polygyridae,Snails,Animal
Cape May Warbler,Setophaga tigrina,Species of Concern,FALSE,Parulidae,Birds,Animal
Cape Mendocino snail,Helminthoglypta arrosa mattolensis,Resolved Taxon,FALSE,Helminthoglyptidae,Snails,Animal
Cape Mountain zebra,Equus zebra ssp. zebra,Endangered,TRUE,Equidae,Mammals,Animal
Caper elimia,Elimia olivula,Under Review,FALSE,Pleuroceridae,Snails,Animal
Caper-fruited tropidocarpum,Tropidocarpum capparideum,Species of Concern,FALSE,Brassicaceae,Flowering Plants,Plant
Cape Sable orchid,Trichocentrum undulatum,Resolved Taxon,FALSE,Orchidaceae,Flowering Plants,Plant
Cape Sable seaside sparrow,Ammodramus maritimus mirabilis,Endangered,FALSE,Emberizidae,Birds,Animal
Cape Sable Thoroughwort,Chromolaena frustrata,Endangered,FALSE,Asteraceae,Flowering Plants,Plant
Capitan Woodlandsnail,Ashmunella pseudodonta,Resolved Taxon,FALSE,Polygyridae,Snails,Animal
Capote Threeband,Humboldtiana fullingtoni,Resolved Taxon,FALSE,Humboldtianidae,Snails,Animal
Capped Langur,Trachypithecus (=Presbytis) pileatus,Endangered,TRUE,Cercopithecidae,Mammals,Animal
Caracara commensal scarab,Trox howelli,Species of Concern,FALSE,Scarabaeidae,Insects,Animal
Cardinal honey-eater,Myzomela cardinalis saffordi,Resolved Taxon,FALSE,Melephagidae,Birds,Animal
Cardot's campylium moss,Campylium cardotii,Resolved Taxon,FALSE,Amblystegiaceae,Lichens,Plant
Caribbean coot,Fulica caribaea,Species of Concern,FALSE,Rallidae,Birds,Animal
Caribbean monk seal,Monachus tropicalis,Extinction,FALSE,Phocidae,Mammals,Animal
Carinated rocky mountainsnail,Oreohelix strigosa goniogyra,Species of Concern,FALSE,Oreohelicidae,Snails,Animal
Carinate Glenwood Pyrg,Pyrgulopsis inopinata,Resolved Taxon,FALSE,Hydrobiidae,Snails,Animal
Carinate Mountainsnail,Oreohelix elrodi,Resolved Taxon,FALSE,Oreohelicidae,Snails,Animal
Carinate pillsnail,Euchemotrema hubrichti,Species of Concern,FALSE,Polygyridae,Snails,Animal
Carlow's Cave pseudoscorpion,Aphrastochthonius similis,Species of Concern,FALSE,Chthoniidae,Arachnids,Animal
Carlson's polycentropus caddisfly,Polycentropus carlsoni,Species of Concern,FALSE,Polycentropodidae,Insects,Animal
Carmel Valley bush-mallow,Malacothamnus palmeri involucratus,Species of Concern,FALSE,Malvaceae,Flowering Plants,Plant
Carmel Valley malacothrix,Malacothrix saxatilis arachnoidea,Species of Concern,FALSE,Asteraceae,Flowering Plants,Plant
Carole's silverspot,Speyeria zerene carolae,Species of Concern,FALSE,Nymphalidae,Insects,Animal
Carolina birds-in-a-nest,Macbridea caroliniana,Under Review,FALSE,Lamiaceae,Flowering Plants,Plant
Carolina bishopweed,Ptilimnium ahlesii,Status Undefined,FALSE,Apiaceae,Flowering Plants,Plant
Carolina crawfish frog,Rana areolata capito,Species of Concern,FALSE,Ranidae,Amphibians,Animal
Carolina creekshell,Villosa vaughaniana,Species of Concern,FALSE,Unionidae,Clams,Animal
Carolina Darter,Etheostoma collis,Species of Concern,FALSE,Percidae,Fishes,Animal
Carolina elktoe,Alasmidonta robusta,Resolved Taxon,FALSE,Unionidae,Clams,Animal
Carolina goldenrod,Solidago pulchra,Species of Concern,FALSE,Asteraceae,Flowering Plants,Plant
Carolina grass-of-parnassus,Parnassia caroliniana,Species of Concern,FALSE,Saxifragaceae,Flowering Plants,Plant
Carolina heelsplitter,Lasmigona decorata,Endangered,FALSE,Unionidae,Clams,Animal
Carolina hemlock,Tsuga caroliniana,Under Review,FALSE,Pinaceae,Conifers and Cycads,Plant
Carolina lead-plant,Amorpha georgiana confusa,Under Review,FALSE,Fabaceae,Flowering Plants,Plant
Carolina Least Trillium,Trillium pusillum var. pusillum,Species of Concern,FALSE,Liliaceae,Flowering Plants,Plant
Carolina madtom,Noturus furiosus,Endangered,FALSE,Ictaluridae,Fishes,Animal
Carolina mnium,Plagiomnium carolinianum,Species of Concern,FALSE,Mniaceae,Flowering Plants,Plant
Carolina northern flying squirrel,Glaucomys sabrinus coloratus,Endangered,FALSE,Sciuridae,Mammals,Animal
Carolina oatgrass,Danthonia epilis,Species of Concern,FALSE,Poaceae,Flowering Plants,Plant
Carolina pygmy sunfish,Elassoma boehlkei,Status Undefined,FALSE,Centrarchidae,Fishes,Animal
Carolina skistodiaptomus,Skistodiaptomus carolinensis,Species of Concern,FALSE,Cyclopidae,Crustaceans,Animal
Carolina sponge,Corvomeyenia carolinensis,Species of Concern,FALSE,Spongillidae,Sponges,Animal
Carolina well diacyclops,Diacyclops jeanneli putei,Species of Concern,FALSE,Cyclopidae,Crustaceans,Animal
Carrizo Springs Texas pocket gopher,Geomys personatus streckeri,Species of Concern,FALSE,Geomyidae,Mammals,Animal
