ECOS Listed Species ID	Common Name	Scientific Name	ESA Listing Status	Is Foreign?	Taxonomic Family_1
10336	No common name	Acropora palmerae	Status Undefined	FALSE	Acroporidae
10337	No common name	Acropora paniculata	Status Undefined	FALSE	Acroporidae
10338	No common name	Acropora pharaonis	Threatened	FALSE	Acroporidae
10339	No common name	Acropora polystoma	Status Undefined	FALSE	Acroporidae
10340	No common name	Acropora retusa	Threatened	FALSE	Acroporidae
10321	No common name	Acropora rudis	Threatened	FALSE	Acroporidae
10341	No common name	Acropora speciosa	Threatened	FALSE	Acroporidae
10342	No common name	Acropora striata	Status Undefined	FALSE	Acroporidae
10343	No common name	Acropora tenella	Threatened	FALSE	Acroporidae
10344	No common name	Acropora vaughani	Status Undefined	FALSE	Acroporidae
10345	No common name	Acropora verweyi	Status Undefined	FALSE	Acroporidae
10346	No common name	Anacropora puertogalerae	Status Undefined	FALSE	Acroporidae
10322	No common name	Anacropora spinosa	Threatened	FALSE	Acroporidae
10347	No common name	Astreopora cucullata	Status Undefined	FALSE	Acroporidae
10903	No common name	Isopora crateriformis	Threatened	FALSE	Acroporidae
10350	No common name	Montipora angulata	Status Undefined	FALSE	Acroporidae
10351	No common name	Montipora australiensis	Threatened	FALSE	Acroporidae
10352	No common name	Montipora calcarea	Status Undefined	FALSE	Acroporidae
10353	No common name	Montipora caliculata	Status Undefined	FALSE	Acroporidae
10355	No common name	Montipora lobulata	Status Undefined	FALSE	Acroporidae
10354	No common name	Montipora turgescens	Status Undefined	FALSE	Acroporidae
10356	No common name	Montipora verrilli	Status Undefined	FALSE	Acroporidae
9382	Staghorn coral	Acropora cervicornis	Threatened	FALSE	Acroporidae
3327	Canyon lip fern	Cheilanthes arizonica californicum	Resolved Taxon	FALSE	Adiantaceae
3541	Fibrillose lip fern	Cheilanthes fibrillosa	Resolved Taxon	FALSE	Adiantaceae
1210	No common name	Adiantum vivesii	Endangered	FALSE	Adiantaceae
1202	No common name	Pteris lidgatei	Endangered	FALSE	Adiantaceae
1637	Pringle lip fern	Cheilanthes pringlei insulare	Resolved Taxon	FALSE	Adiantaceae
7412	Morden's owlet	Otus ireneae	Endangered	TRUE	Aegothelidae
10315	Lamarck's Sheet Coral	Agaricia lamarcki	Status Undefined	FALSE	Agariciidae
10367	No common name	Pachyseris rugosa	Status Undefined	FALSE	Agariciidae
10370	No common name	Pavona diffluens	Threatened	FALSE	Agariciidae
877	Arizona agave	Agave arizonica	Original Data in Error - Not a listable entity	FALSE	Agavaceae
974	Britton's beargrass	Nolina brittoniana	Endangered	FALSE	Agavaceae
7355	Chisos agave	Agave glomeruliflora	Species of Concern	FALSE	Agavaceae
3498	Clark Mountains agave	Agave utahensis nevadensis	Resolved Taxon	FALSE	Agavaceae
1497	Hala pepe	Pleomele fernaldii	Endangered	FALSE	Agavaceae
3737	Hala pepe	Pleomele forbesii	Endangered	FALSE	Agavaceae
4185	Ivory-spined agave	Agave utahensis eborispina	Resolved Taxon	FALSE	Agavaceae
3671	No common name	Agave eggersiana	Endangered	FALSE	Agavaceae
6184	No common name	Agave mckelveyana	Resolved Taxon	FALSE	Agavaceae
3169	No common name	Agave murpheyi	Species of Concern	FALSE	Agavaceae
4658	No common name	Agave schottii treleasei	Species of Concern	FALSE	Agavaceae
3400	No common name	Agave toumeyana bella	Resolved Taxon	FALSE	Agavaceae
7853	No common name	Agave utahensis kaibabensis	Resolved Taxon	FALSE	Agavaceae
9931	No common name	yucca cernua	Resolved Taxon	FALSE	Agavaceae
528	Purple amole	Chlorogalum purpureum	Threatened	FALSE	Agavaceae
8210	Santa Cruz striped agave	Agave parviflora parviflora	Species of Concern	FALSE	Agavaceae
3263	Shaw's agave	Agave shawii	Species of Concern	FALSE	Agavaceae
4856	Sp. nov. ined. (Tonto Basin) agave	Agave sp.	Species of Concern	FALSE	Agavaceae
3287	Roughseed sea-purslane	Sesuvium trianthemoides	Species of Concern	FALSE	Aizoaceae
4501	California horned lark	Eremophila alpestris actia	Resolved Taxon	FALSE	Alaudidae
3279	Raso lark	Alauda razae	Endangered	TRUE	Alaudidae
4296	Streaked Horned lark	Eremophila alpestris strigata	Threatened	FALSE	Alaudidae
10399	Belted Kingfisher	Megaceryle alcyon	Species of Concern	FALSE	Alcedinidae
119	Guam Micronesian kingfisher	Halcyon cinnamomina cinnamomina	Endangered	FALSE	Alcedinidae
11502	Mariana Kingfisher	Todiramphus albicilla	Species of Concern	FALSE	Alcedinidae
11620	No common name	Todiramphus sacer	Species of Concern	FALSE	Alcedinidae
9946	Atlantic puffin	Fratercula arctica	Species of Concern	FALSE	Alcidae
11263	Black Guillemot	Cepphus grylle	Species of Concern	FALSE	Alcidae
11302	Common Murre	Uria aalge	Species of Concern	FALSE	Alcidae
11418	Craveri's Murrelet	Synthliboramphus craveri	Species of Concern	FALSE	Alcidae
7414	Dovekie	Alle alle	Resolved Taxon	FALSE	Alcidae
11501	Guadalupe Murrelet	Synthliboramphus hypoleucus	Species of Concern	FALSE	Alcidae
3940	Kittlitz's murrelet	Brachyramphus brevirostris	Resolved Taxon	FALSE	Alcidae
143	Marbled murrelet	Brachyramphus marmoratus	Threatened	FALSE	Alcidae
8261	Marbled murrelet	Brachyramphus marmoratus	Species of Concern	FALSE	Alcidae
11308	Razorbill	Alca torda	Species of Concern	FALSE	Alcidae
10699	Scripp's Murrelet	Synthliboramphus hypoleucus scrippsi	Resolved Taxon	FALSE	Alcidae
11495	Scripps's Murrelet	Synthliboramphus scrippsi	Species of Concern	FALSE	Alcidae
11510	Thick-billed Murre	Uria lomvia	Species of Concern	FALSE	Alcidae
10683	Whiskered Auklet	Aethia pygmaea	Species of Concern	FALSE	Alcidae
6618	Xantus'sMurrelet	Synthliboramphus hypoleucus	Resolved Taxon	FALSE	Alcidae
2091	Splitting yarn lichen	Sulcaria isidiisera	Species of Concern	FALSE	Alectoriaceae
818	Bunched arrowhead	Sagittaria fasciculata	Endangered	FALSE	Alismataceae
1064	Kral's water-plantain	Sagittaria secundifolia	Threatened	FALSE	Alismataceae
7233	No common name	Echinodorus tenellus	Species of Concern	FALSE	Alismataceae
5643	Valley sagittaria	Sagittaria sanfordii	Species of Concern	FALSE	Alismataceae
8396	American alligator	Alligator mississippiensis	Similarity of Appearance (Threatened)	FALSE	Alligatoridae
6340	Apaporis River caiman	Caiman crocodilus apaporiensis	Endangered	TRUE	Alligatoridae
7511	Black caiman	Melanosuchus niger	Endangered	TRUE	Alligatoridae
10486	Broad-snouted caiman	Caiman latirostris	Threatened	TRUE	Alligatoridae
10487	Broad-snouted caiman	Caiman latirostris	Endangered	TRUE	Alligatoridae
4293	Brown Caiman	Caiman crocodilus fuscus (includes Caiman crocodilus chiapasius)	Similarity of Appearance (Threatened)	TRUE	Alligatoridae
1453	Chinese alligator	Alligator sinensis	Endangered	TRUE	Alligatoridae
5516	Common caiman	Caiman crocodilus crocodilus	Similarity of Appearance (Threatened)	TRUE	Alligatoridae
6530	Yacare Caiman	Caiman yacare	Threatened	TRUE	Alligatoridae
2381	Anchialine pool shrimp	Metabetaeus lohena	Resolved Taxon	FALSE	Alpheidae
2041	Anchialine pool Shrimp	Calliasmata pholidota	Resolved Taxon	FALSE	Alpheidae
782	Kulu`i	Nototrichium humile	Endangered	FALSE	Amaranthaceae
7269	No common name	Achyranthes atollensis	Resolved Taxon	FALSE	Amaranthaceae
497	No common name	Achyranthes mutica	Endangered	FALSE	Amaranthaceae
7396	No common name	Achyranthes splendens splendens	Resolved Taxon	FALSE	Amaranthaceae
5346	No common name	Aerva sericea	Resolved Taxon	FALSE	Amaranthaceae
499	No common name	Amaranthus brownii	Endangered	FALSE	Amaranthaceae
6778	No common name	Nototrichium sandwicense decipiens	Resolved Taxon	FALSE	Amaranthaceae
2243	No common name	Nototrichium sandwicense dubium	Resolved Taxon	FALSE	Amaranthaceae
6253	No common name	Nototrichium sandwicense forbesii	Resolved Taxon	FALSE	Amaranthaceae
5945	No common name	Nototrichium sandwicense helleri	Resolved Taxon	FALSE	Amaranthaceae
2141	No common name	Nototrichium sandwicense kolekolense	Resolved Taxon	FALSE	Amaranthaceae
3358	No common name	Nototrichium sandwicense lanaiense	Resolved Taxon	FALSE	Amaranthaceae
3767	No common name	Nototrichium sandwicense lanceolatum	Resolved Taxon	FALSE	Amaranthaceae
4737	No common name	Nototrichium sandwicense latifolium	Resolved Taxon	FALSE	Amaranthaceae
3821	No common name	Nototrichium sandwicense leptopodum	Resolved Taxon	FALSE	Amaranthaceae
4800	No common name	Nototrichium sandwicense longespicatum	Resolved Taxon	FALSE	Amaranthaceae
5287	No common name	Nototrichium sandwicense macrophyllum	Resolved Taxon	FALSE	Amaranthaceae
5684	No common name	Nototrichium sandwicense mauiense	Resolved Taxon	FALSE	Amaranthaceae
8192	No common name	Nototrichium sandwicense niihauense	Resolved Taxon	FALSE	Amaranthaceae
7392	No common name	Nototrichium sandwicense olokeleanum	Resolved Taxon	FALSE	Amaranthaceae
1592	No common name	Nototrichium sandwicense pulchelloides	Resolved Taxon	FALSE	Amaranthaceae
5831	No common name	Nototrichium sandwicense pulchellum	Resolved Taxon	FALSE	Amaranthaceae
5311	No common name	Nototrichium sandwicense subcordatum	Resolved Taxon	FALSE	Amaranthaceae
2821	No common name	Nototrichium sandwicense syringifolium	Resolved Taxon	FALSE	Amaranthaceae
6624	No common name	Nototrichium viride	Resolved Taxon	FALSE	Amaranthaceae
3388	Papala	Charpentiera densiflora	Endangered	FALSE	Amaranthaceae
874	Round-leaved chaff-flower	Achyranthes splendens var. rotundata	Endangered	FALSE	Amaranthaceae
1019	Seabeach amaranth	Amaranthus pumilus	Threatened	FALSE	Amaranthaceae
11105	Small's Rainlily	Cooperia smallii	Resolved Taxon	FALSE	Amaryllidaceae
1329	Spp. (ca 12) carelia	Carelia spp. (ca 12)	Species of Concern	FALSE	Amastridae
3698	[Unnamed] snail	Laminella sanguinea	Species of Concern	FALSE	Amastridae
4686	[Unnamed] snail	Leptachatina lepida	Species of Concern	FALSE	Amastridae
236	Alabama cavefish	Speoplatyrhinus poulsoni	Endangered	FALSE	Amblyopsidae
6500	Northern cavefish	Amblyopsis spelaea	Under Review	FALSE	Amblyopsidae
260	Ozark cavefish	Amblyopsis rosae	Threatened	FALSE	Amblyopsidae
9308	Southern cavefish	typhlichthys subterraneus	Species of Concern	FALSE	Amblyopsidae
9589	Cardot's campylium moss	Campylium cardotii	Resolved Taxon	FALSE	Amblystegiaceae
5116	No common name	Limbella fryei	Species of Concern	FALSE	Amblystegiaceae
11016	South Llano Springs moss	Donrichardsia macroneuron	Proposed Endangered	FALSE	Amblystegiaceae
10261	California giant salamander	Dicamptodon ensatus	Resolved Taxon	FALSE	Ambystomatidae
203	California tiger Salamander	Ambystoma californiense	Endangered	FALSE	Ambystomatidae
8395	California tiger Salamander	Ambystoma californiense	Endangered	FALSE	Ambystomatidae
4773	California tiger Salamander	Ambystoma californiense	Threatened	FALSE	Ambystomatidae
199	Frosted Flatwoods salamander	Ambystoma cingulatum	Threatened	FALSE	Ambystomatidae
9144	Northwestern salamander	ambystoma gracile	Species of Concern	FALSE	Ambystomatidae
9943	Reticulated flatwoods salamander	Ambystoma bishopi	Endangered	FALSE	Ambystomatidae
188	Santa Cruz long-toed salamander	Ambystoma macrodactylum croceum	Endangered	FALSE	Ambystomatidae
