ECOS Listed Species ID	ESA Listing Date	Delisting Date	Delisting Reason
2804	6/14/1976		
966	6/22/1992		
5865	6/2/1970		
284	3/31/1986		
3654	6/17/1998		
1059	6/23/1988		
2186	6/14/1976		
881	8/3/1993		
9487	10/15/2007		
3170	10/19/1976		
10487	6/14/1976		
4947	6/2/1970		
3974	10/19/1976		
5105	1/27/2011		
4578	6/14/1976		
1518	6/14/1976		
2561	12/2/2010		
746	12/4/1984		
2403	6/2/1970		
1048	9/26/1986		
1392	6/2/1970		
10332	11/13/2014		
480	9/7/1988		
1237	3/5/2004		
5655	6/2/1970		
1063	10/10/1996		
3684	6/14/1976		
1080	9/28/1989		
1156	5/13/1992		
1137	10/10/1996		
651	1/13/1981		
128	9/9/1994		
851	3/28/1994		
2356	10/19/1976		
1636	10/18/2012		
976	2/25/1986		
6864	9/30/1991		
566	6/18/1997		
2684	6/11/1978		
632	11/29/1979		
1510	10/19/1976		
6942	1/27/2011		
669	2/3/1995		
243	4/8/1987		
8170	6/2/1970		
275	3/31/1986		
277	10/25/1990		
502	10/7/1996		
4849	6/2/1970		
9707	7/23/1978		
62	2/23/2000		
1022	10/14/1998		
7021	6/27/2011		
4537	11/29/2013		
578	6/18/1997		
262	8/5/1985		
1120	3/23/1994		
168	6/16/1987		
733	9/20/1991		
244	10/28/1975		
1109	10/10/1996		
8685	5/9/2014		
3280	8/25/2014		
5267	6/2/1970		
4496	8/4/1988		
6308	5/6/1993		
2605	6/2/1970		
1211	6/27/1994		
939	5/15/1992		
9932	5/1/2008		
10146	6/2/1970		
6426	6/2/1970		
7150	9/8/2011		
4061	6/2/1970		
10708	7/23/2014		
6863	6/2/1970		
764	9/7/1988		
547	5/26/1999		
589	10/10/1996		
11356	6/2/1970		
4364	6/2/1970		
1090	10/13/1998		
7805	6/27/2013		
1581	6/2/1970		
891	11/14/1988		
4805	1/12/1995		
952	1/14/1991		
8137	9/12/2011		
1858	9/30/1991		
7294	6/2/1970		
4188	6/14/1976		
818	8/31/1979		
1849	12/23/2019		
432	7/2/1980		
1192	8/12/1998		
915	10/29/1991		
354	11/23/1994		
3653	6/27/2013		
7773	6/2/1970		
1765	6/2/1970		
959	11/19/1987		
720	10/29/1991		
1053	9/28/1987		
470	12/26/2000		
84	3/11/1967		
6807	6/14/1976		
564	10/10/1996		
10311	11/13/2014		
339	6/14/1976		
680	12/8/1979		
139	5/4/1990		
6514	6/2/1970		
189	3/11/1967		
616	9/20/1991		
843	10/12/1984		
705	12/6/1979		
5232	8/9/2005		
703	11/26/1979		
467	9/16/1988		
3289	11/29/2013		
5148	6/2/1970		
278	4/27/1993		
22	6/14/1976		
4179	10/31/2013		
569	11/22/1999		
1086	8/24/1994		
4093	6/6/2006		
2206	6/2/1970		
201	1/6/1997		
220	3/11/1967		
1029	3/11/1987		
793	11/28/1979		
5366	6/2/1970		
4661	9/1/1988		
43	6/3/1987		
6270	6/2/1970		
1174	3/14/2002		
9335	9/2/2010		
5804	6/2/1970		
198	8/18/1989		
10486	6/14/1976		
4309	6/2/1970		
1378	2/4/1994		
600	2/6/1997		
584	10/10/1996		
604	10/10/1996		
